iter	Passed	Remaining
934	4449	309
935	4455	304
936	4459	299
937	4464	295
938	4470	290
939	4475	285
940	4481	281
941	4486	276
942	4491	271
943	4496	266
944	4502	262
945	4506	257
946	4511	252
947	4519	247
948	4523	243
949	4529	238
950	4534	233
951	4539	228
952	4545	224
953	4550	219
954	4556	214
955	4561	209
956	4566	205
957	4572	200
958	4577	195
959	4584	191
960	4590	186
961	4595	181
962	4599	176
963	4602	171
964	4606	167
965	4614	162
966	4619	157
967	4623	152
968	4628	148
969	4634	143
970	4638	138
971	4648	133
972	4652	129
973	4657	124
974	4662	119
975	4666	114
976	4670	109
977	4675	105
978	4683	100
979	4687	95
980	4692	90
981	4696	86
982	4701	81
983	4705	76
984	4712	71
985	4717	66
986	4720	62
987	4725	57
988	4730	52
989	4734	47
990	4739	43
991	4746	38
992	4751	33
993	4755	28
994	4761	23
995	4766	19
996	4770	14
997	4776	9
998	4782	4
999	4787	0
